table_nr	releve_nr	field_nr	trans_position	cover_herb_%	max_height_cm	cond	pH	soil_depth_mean_cm	soil_depth_sd_cm
1	555859	KrP-01     	0	95	130	157.9 	6.87 	18.25 	6.40 
12	555870	KrP-12    	10	85	120	124.7 	6.82 	12.50 	4.80 
2	555860	KrP-02     	19	95	120	139.6 	6.94 	18.25 	8.77 
13	555871	KrP-13    	29	85	140	135.7 	6.94 	18.25 	2.87 
3	555861	KrP-03     	39	98	120	106.9 	7.02 	16.75 	1.50 
14	555872	KrP-14    	49	75	110	243.0 	6.93 	12.25 	4.79 
4	555862	KrP-04     	59	95	130	129.3 	6.82 	15.50 	1.29 
15	555873	KrP-15    	69	90	130	165.3 	6.80 	16.25 	10.50 
5	555863	KrP-05     	79	85	80	117.9 	7.03 	16.75 	9.11 
16	555874	KrP-16    	89	90	100	179.7 	6.92 	11.50 	7.72 
6	555864	KrP-06     	99	80	70	143.8 	6.92 	18.00 	4.76 
17	555875	KrP-17    	109	90	100	159.5 	6.79 	14.75 	4.19 
7	555865	KrP-07     	120	80	45	160.6 	6.65 	15.50 	4.65 
18	555876	KrP-18    	129	90	150	155.3 	6.62 	8.50 	0.58 
8	555866	KrP-08     	139	98	130	131.5 	6.58 	10.25 	4.79 
19	555877	KrP-19    	149	95	120	126.1 	6.74 	10.00 	4.69 
9	555867	KrP-09     	159	95	150	164.4 	6.93 	13.25 	6.55 
20	555878	KrP-20    	169	90	110	193.1 	6.86 	9.75 	3.30 
10	555868	KrP-10    	179	95	100	93.5 	7.02 	10.75 	4.57 
21	555879	KrP-21    	189	95	170	238.0 	6.95 	10.00 	2.16 
11	555869	KrP-11    	199	95	130	189.6 	6.69 	13.50 	4.65 
