	Acer negundo	Achillea millefolium agg.	Acinos arvensis	Anthemis arvensis	Arabidopsis thaliana	Arenaria serpyllifolia	Arrhenatherum elatius	Artemisia vulgaris	Bromus hordeaceus	Bromus sterilis	Bromus tectorum	Calamagrostis epigejos	Capsella bursa-pastoris	Carduus acanthoides	Carex muricata	Centaurea stoebe	Cerastium glutinosum	Cerastium semidecandrum	Cerastium species	Chenopodium album agg.	Cichorium intybus	Cirsium arvense	Convolvulus arvensis	Dactylis glomerata	Descurainia sophia	Echium vulgare	Elymus repens	Equisetum arvense	Erigeron annuus agg.	Erigeron species	Erophila verna	Euphorbia cyparissias	Festuca rubra	Galium album	Galium aparine	Geranium pusillum	Geranium robertianum	Herniaria glabra	Hieracium sabaudum	Holosteum umbellatum	Hypericum perforatum	Lactuca serriola	Linaria vulgaris	Lithospermum species	Lycopsis arvensis subsp. arvensis	Medicago falcata	Medicago sativa	Medicago species	Medicago ×varia	Melica transsilvanica	Microthlaspi perfoliatum	Myosotis arvensis	Myosotis ramosissima	Origanum vulgare	Papaver argemone	Papaver rhoeas	Pastinaca sativa	Phalaris arundinacea	Picris hieracioides	Pilosella piloselloides	Pilosella rothiana	Plantago lanceolata	Poa angustifolia	Poa bulbosa	Poa compressa	Poa pratensis	Potentilla argentea	Potentilla inclinata	Reseda lutea	Rosa species	Rubus fruticosus agg.	Rumex acetosella	Sanguisorba minor	Saxifraga tridactylites	Securigera varia	Sedum album	Senecio vernalis	Senecio vulgaris	Silene latifolia subsp. alba	Taraxacum sect. Taraxacum	Thlaspi arvense	Tragopogon dubius	Tragopogon orientalis	Tragopogon species	Trifolium repens	Tripleurospermum inodorum	Triticum aestivum	Urtica dioica	Verbascum chaixii subsp. austriacum	Veronica arvensis	Viola arvensis
555859	0	4	0	0	1	2	38	2	0	0	2	0	1	3	0	0	1	0	0	0	0	3	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	2	18	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	18	0	3	0	0	4	0	0	0	0	0	0	0	0	2	2	0	2	0	2	0	0	4	1	0	0	0	3	2
555870	0	2	0	0	1	1	18	0	0	0	3	0	1	3	0	0	0	0	1	0	0	0	2	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	4	1	0	0	2	0	2	0	0	0	0	38	0	0	0	0	4	1	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	4	0	3	2
555860	1	4	0	0	1	2	38	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	4	0	0	4	0	0	0	0	1	2	3	0	0	2	0	4	0	4	0	0	18	0	3	8	0	4	2	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	3	2
555871	0	3	0	3	0	0	8	0	1	0	3	0	1	3	0	0	2	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	2	2	0	0	2	0	2	2	0	0	0	18	0	1	3	0	4	3	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	2	1	0	0	0	2	3
555861	0	4	0	0	2	0	38	2	1	0	3	0	1	3	0	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	4	1	3	8	0	4	2	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	3	4	3
555872	0	2	1	0	1	2	8	2	0	0	2	2	1	3	0	0	0	0	0	0	0	0	1	0	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	38	0	0	0	0	3	4	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	3	2
555862	0	3	2	0	0	0	38	3	0	0	4	0	2	8	0	0	2	0	0	2	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	2	0	0	0	2	0	0	2	0	0	0	3	0	3	8	0	8	8	0	0	0	0	0	0	1	2	0	0	2	0	2	0	0	0	1	0	0	0	3	3
555873	0	2	2	0	0	2	8	2	1	0	2	3	1	0	0	0	1	0	0	0	0	0	0	0	0	3	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	3	0	0	0	2	0	2	2	0	0	2	0	0	2	0	0	0	38	0	1	3	0	8	0	3	0	8	0	0	8	2	1	0	0	3	0	2	1	0	0	2	0	0	2	3	2
555863	0	0	3	0	1	3	4	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	3	0	3	0	0	2	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	4	2	4	0	0	0	38	0	4	0	0	8	0	2	4	3	4	2	0	0	0	0	0	3	0	2	2	4	4	0	0	0	0	0	1	0	0	0	2	3
555874	0	2	4	0	1	2	2	2	1	0	2	2	2	2	0	0	2	0	0	0	0	0	0	0	0	4	0	0	2	1	1	0	0	0	0	0	1	1	0	1	0	0	3	0	0	8	0	0	0	0	1	2	1	0	0	3	0	0	3	4	0	0	38	0	0	3	0	0	3	0	0	0	0	0	0	0	2	2	8	2	0	2	0	0	0	1	1	0	0	2	2
